index,tweet,id,lang,topic,score,argumentative,evidence,claim,procon,arg_type,evidence_type
0,"When u rent shit out, u still need permission on shit u bring. Food. Cakes. Balloons.  Bitch A BODY!! Yall need to get a fuckin clue. Green asses",1.5110387557166162e+18,en,We should exempt meat production from carbon taxes,0.0,1,0.0,0.0,0.0,unrelated,
1,<MENTION> <MENTION> 2/2 the cattle after all are eating plant material that just pulled a stack of carbon out of the atmosphere in that annual production cycle where emission were created. Very different to car that is generating emissions from fossil fuels . 🤷🏼‍♂️,1.511297544520827e+18,en,We should exempt meat production from carbon taxes,0.0,1,1.0,0.0,1.0,implicit,fact
2,"<MENTION> Could you share the literature which supports that Irish beef and lamb production is low GHG compared with meat from non-ruminant animals? 

And will DAFM start recommending Irish people move towards a more plant-based diet on the basis of this report?",1.511066090113282e+18,en,We should encourage more fruits and vegetable consumption,0.0,0,0.0,0.0,0.0,,
3,<MENTION> <MENTION> <MENTION> <MENTION> Lol - and the wash post is the PR firm and Whole Foods is the official food supplier,1.511468873006076e+18,en,Meat alternatives should be encouraged,0.0,0,0.0,0.0,0.0,,
4,"Finished 3 hours of condensing Mediterranean Diet stuff!

Key takeaways
All fruits
All vegetables
All nuts and seeds
All legumes
Whole grain
Lean meat
Eat with extra virgin olive oil
Cook with light olive oil

Avoid or limit
Sat fat
Trans fat
Added sugars of all types",1.5101034729722225e+18,en,We should introduce meatless mondays,0.0,0,0.0,0.0,0.0,,
5,<MENTION> <MENTION> To be clear: vegetarianism is fine and practiced by many of the monasteries. Veganism can’t happen if we’re going to use beeswax candles.,1.5118625215228027e+18,en,Meat alternatives should be encouraged,0.0,1,0.0,0.0,0.0,unrelated,
6,"The snowflakes have cancelled April Fools Day, instead carbon taxes and electric vehicles charged with electricity generated by burning coal makes fools of us everyday…",1.509839982231495e+18,en,Plant based should be invested in,0.0,0,0.0,0.0,0.0,,
7,<MENTION> Do you know about Balance of Nature?  It's a high powered fruit and vegetable pills.  Fruits and veggies have 2 different pills.  I have it listed on my other profile <MENTION> If interested.  May help the pain.,1.509207017847722e+18,en,We should exempt meat production from carbon taxes,0.0,1,0.0,0.0,0.0,unrelated,
8,<MENTION> I'm sure you and the mini hoo would have coped admirably without mum - until the food ran out. If hoomum didn't come home we'd only notice her absence when we were hungry. 😁,1.5120090103791657e+18,en,We should introduce meatless mondays,0.0,0,0.0,0.0,0.0,,
9,"<MENTION> It's racist to club everyone and paint everyone as same. Only RSS/BJP type guys opposes freedom to eat, wear and read.

I'm a pure vegetarian but that's personal choice same as anyone wants to eat meat or be Vegan.

We should all learn to respect people's choicest and coexistence",1.5105259026391654e+18,en,We should encourage more fruits and vegetable consumption,0.0,1,0.0,0.0,0.0,unrelated,
10,"<MENTION> <MENTION> <MENTION> <MENTION> How would you be malnourished? Vegetables, fruits, pulses, legumes, etc have more vitamins &amp; minerals than any animal product &amp; have fiber which most people don’t get enough of &amp; don’t have cholesterol which is the primary cause of heart failure the leading cause of death",1.511764119845802e+18,en,We should add a carbon tax to food production,0.0,1,0.0,0.0,0.0,unrelated,
11,"<MENTION> Yes - chances are very high that I’ve been indulging an inflammatory food or have high information for some reason. That is when I try to strip everything back in an attempt to soothe the inflammation out w diet, golden milk, green tea, magnesium,  salon pas, bone broth. . .  ❤️",1.509318568466387e+18,en,We should subsidize green nutrition,0.0,1,0.0,0.0,0.0,unrelated,
12,"<MENTION> <MENTION> Ahh fair. But you are calculating the 6% based on the invested link or usd or crv,cvx and 3pool?",1.5116951558034022e+18,en,We should add a carbon tax to food production,0.0,0,0.0,0.0,0.0,,
13,"<MENTION> <MENTION>  In fact Haldiram's food is not of good quality
I ordered navratra thali frm Haldiram, it turn out to be non edible. Too salty, missing food items, bad packaging
Most importantly after having this food me &amp; my family members had stomachache &amp; needed to see doctor",1.5120088321969562e+18,en,We should stop subsidizing meat,0.0,1,0.0,0.0,0.0,unrelated,
14,<MENTION> I love beans on toast tbh but I like baked beans on toast more than the typical type of beans on toast,1.5119783393592443e+18,en,Plant based should be subsidized,0.0,0,0.0,0.0,0.0,,
15,<MENTION> Nwa nwere swag no be beans👍,1.5119998489538314e+18,en,We should encourage more fruits and vegetable consumption,0.0,0,0.0,0.0,0.0,,
16,<MENTION> <MENTION> Then maybe we should tell US and China to actually pay the carbon tax which comes over to us lol 😂 should add,1.509967015217447e+18,en,Plant based should be invested in,0.0,1,0.0,0.0,0.0,unrelated,
17,"<MENTION> <MENTION> He’s speaking on the environment not misleading people on the health of a diet. He’s not vegan or vegetarian and he owns the largest share of farmland, about 270,000 acres.",1.5118423143056466e+18,en,We should subsidize fruits and vegetables,0.0,lacks context,0.0,0.0,0.0,,
18,But the rasboras as a society are in shambles. there was a bully and I had to separate him from the rest of them bc he was cutting off the others’ food supply?? So he’s in fish jail until I can figure out a solution. I think the school is too small rn so I’m gonna add more asap,1.511945667077415e+18,en,Plant based should be invested in,0.0,0,0.0,0.0,0.0,,
19,"<MENTION> <MENTION> So in other words, our governments need to stop subsidizing fossil fuels.🤔",1.5114234874154926e+18,en,We should add a carbon tax to food production,0.0,lacks context,0.0,0.0,0.0,,
20,<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> need reforms Japan like progress clean green hygiene healthy environment food water air vibes Zeitgeist cherishing amenities facilities infrastructure development transport system drainage system etc,1.510982706363994e+18,en,Meat alternatives should be subsidized,0.0,0,0.0,0.0,0.0,,
21,<MENTION> <MENTION> Sounds like a recipe for a good game so far! Leafs firepower vs Panthers comebacks!,1.5115100043560264e+18,en,Meat alternatives should be invested in,0.0,0,0.0,0.0,0.0,,
22,The day I eat restaurant food I feel the worst the next day it’s not healthy keep away from that shit.,1.5107107732696023e+18,en,We should encourage more fruits and vegetable consumption,0.0,1,0.0,0.0,0.0,unrelated,
23,"Moreover,  'animal-based' should not include any plant foods.

When was the last time a 'plant-based' eater argued 'plant-based' should include 10% animal foods? or 30%?

And why should the standards be different to animal based?",1.511802903513768e+18,en,Plant based should be encouraged,0.0,1,0.0,0.0,0.0,unrelated,
24,<MENTION> <MENTION> <MENTION> Many fruit &amp; veg (which contain natural acid) don’t trigger flare ups- The list is long and varied (obs this may not apply to you) but after a little digging I found some doctors do reccomend a plant based diet to ease the inflammation. Going meatless is even recommended by ICA,1.509273971438633e+18,en,We should exempt meat production from carbon taxes,0.0,1,0.0,0.0,0.0,unrelated,
25,<MENTION> <MENTION> <MENTION> Switch to plant based diets to reduce food costs and benefit climate,1.5116599217496678e+18,en,Plant based should be encouraged,0.6202627420425415,1,0.0,1.0,1.0,explicit,
26,<MENTION> Yet we still pay Carbon tax!,1.5114982682444718e+18,en,We should add a carbon tax to food production,0.7369465827941895,lacks context,0.0,0.0,0.0,,
27,<MENTION> Do you consider raising the carbon tax as the affordable thing to do?,1.5116593510685286e+18,en,We should add a carbon tax to food production,0.7569004893302917,0,0.0,0.0,0.0,,
28,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> People have been making meat alternatives for centuries for various reasons. If people want to eat a meat analogue that causes much less death and environmental destruction, what's your problem?",1.5116515023345664e+18,en,We should stop subsidizing meat,0.6293835639953613,1,0.0,0.0,0.0,unrelated,
29,<MENTION> CAN WE GET RID OF THE STUPID CARBON TAX,1.511564606451372e+18,en,We should add a carbon tax to food production,0.7291160821914673,1,0.0,1.0,-1.0,implicit,
30,"<MENTION> We are on the green bean diet here, too!  I love them.  Mom hasn't tried broccoli😱",1.509982931623813e+18,en,We should subsidize green nutrition,0.5477408766746521,0,0.0,0.0,0.0,,
31,<MENTION> facts. plant based diet &gt;&gt;,1.511848798980432e+18,en,Plant based should be encouraged,0.6822234392166138,lacks context,0.0,0.0,0.0,,
32,<MENTION> <MENTION> So people who promote vegan or carnivore and have a diet plan to sell?,1.5119969240224768e+18,en,Vegetarian and vegan diets should be encouraged,0.7456995248794556,0,0.0,0.0,0.0,,
33,<MENTION> <MENTION> <MENTION> Yes but to be fair: we can expect a massive increase in meat and dairy consumption in emerging countries that will severely limit the impact of whatever we do.,1.5100154146208072e+18,en,We have to increase production of meat,0.6718571186065674,1,1.0,0.0,-1.0,implicit,fact
34,"<MENTION> Not unless we were in an apocalyptic state and there were no alternatives, but this was available. My issue with alt meat is it generally doesn't save money, sometimes even costs more. No thanks.",1.509965006586192e+18,en,Meat alternatives should be invested in,0.6605374217033386,1,0.0,1.0,-1.0,implicit,
35,<MENTION> Okay but vegetables suck and fruits are better.,1.5114522381825556e+18,en,We should discourage fruits and vegetable consumption,0.6199948191642761,1,0.0,0.0,0.0,unrelated,
36,"<MENTION> Absolutely, we are lucky enough to be able to grow a few vegetables-reduces the Carbon footprint of a small portion of our food, we try and support local food producers-every little bit helps because collectively we can make a difference",1.5117273389579796e+18,en,We should discourage fruits and vegetable consumption,0.6207425594329834,1,1.0,1.0,1.0,implicit,anecdotal
37,"<MENTION> Gday mate, Carbon Taxes are a farcical solution it doesnt take carbon out of the environment! 
have to agree with you it cant not put money in your pocket",1.5099430278043116e+18,en,We should add a carbon tax to food production,0.7120998501777649,1,1.0,1.0,-1.0,implicit,fact
38,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> People have been making meat alternatives for centuries for various reasons. If people want to eat a meat analogue that causes much less death and environmental destruction, what's your problem?",1.5116515023345664e+18,en,Meat alternatives should be invested in,0.7467825412750244,1,0.0,1.0,1.0,implicit,
39,"<MENTION> <MENTION> Green taxes go into subsidizing development and production of green energy solutions.

If we were on 100% renewables, our electricity prices would not have needed to go up. We need to move into self-sufficient green energy as soon as possible,",1.5099543184091218e+18,en,We should subsidize green nutrition,0.5700336694717407,1,0.0,0.0,0.0,unrelated,
40,"<MENTION> <MENTION> <MENTION> <MENTION> That is nothing that the carbon tax was introduced for. 

So cancel it and change to something else to actually help the environment.",1.51179697351014e+18,en,We should add a carbon tax to food production,0.7347560524940491,1,0.0,1.0,-1.0,implicit,
41,"<MENTION> Plant based options, yes!!!!!",1.5119175672874312e+18,en,Plant based should be invested in,0.6139122247695923,1,0.0,1.0,0.0,implicit,
42,"<MENTION> Ppl hate it when their perversion towards meat is challenged by a more humane, sustainable fact based nutrition.",1.511766842360148e+18,en,We should stop subsidizing meat,0.6418981552124023,1,0.0,1.0,1.0,implicit,
43,"<MENTION> <MENTION> Substitute meat or artificial meat should be provided
reduce carbon emissions
make processed meat",1.5107716474683023e+18,en,Meat alternatives should be invested in,0.6894819140434265,1,0.0,1.0,1.0,implicit,
44,<MENTION> <MENTION> More people employed in plant based food production.,1.5119782407134085e+18,en,Plant based should be invested in,0.6059066653251648,lacks context,0.0,0.0,0.0,,
45,"<MENTION> fruits: banana, pineapple, strawberry, and tomato
vegetables: broccoli and lettuce",1.5111381641775718e+18,en,We should subsidize fruits and vegetables,0.5483446717262268,0,0.0,0.0,0.0,,
46,What’d this plant do to be so based?,1.511774076297093e+18,en,Plant based should be invested in,0.6481122970581055,0,0.0,0.0,0.0,,
47,ian realize how much stuff could be plant-based until i started shopping at whole foods,1.5118857380440105e+18,en,Plant based should be subsidized,0.5185598134994507,0,0.0,0.0,0.0,,
