index,tweet,id,topic,lang,argumentative,evidence,claim,procon,arg_type,evidence_type
1777,"Quinoa, brown rice, oatmeal, buckwheat... Today's #CancerPrevention Month Challenge is to try a new whole grain! Evidence shows that eating mostly plant-based foods, like whole grains, plays a big role in preventing cancer and contributing to a healthier life. #ReduceYourRisk",1.501224462418514e+18,Climate conscious diets are good,en,1,0.0,0.0,-1.0,unrelated,
1413,SOAK MY MEAT IN OLIVE OIL CHILLIES GARLICKY ONION SHALLOT TIME BAY LEAVES WE ADD GINGER,1.4985571100402278e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
1680,"SAFADANY💋 SQUAD¡!

⠀⠀⠀⠀ anagrama com emojis
⠀⠀⠀⠀ categoria 1/7
⠀⠀⠀⠀(5/5)

BUNDANY🍑💋 x GOSTOSANY🥵💋

frutas/legumes/vegetais:

🧛‍♀️✈🌻🧯🔨",1.5030540686123172e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1319,"IF we all #grow a different #vegetable and fruit we could all #trade with each other and practically eat for #free! 

If only",1.5030313848096072e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
1202,Vegans: Please drop your favorite and go to seasonings (liquid seasonings too) that really add flavor to your alternative protein sources #vegan #helplol,1.4983880499520512e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
624,"Recording Liverpool v Chelsea podcast. Any questions you want answered on the game, LFC, a good recipe for orange chicken, the way to my heart etc. get them in now 💪",1.5021396906145096e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1516,"from hitting the rock bottom to getting where they are now and where they deserve to be, the organic growth and success just says a lot about seventeen. it's them. it's them who built that name SEVENTEEN.",1.5030283172676772e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
276,That little boy looks like this man Hun he bringing them food drinks they take care of her son's though and that other lady kids,1.5030407052114248e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
25,"When it comes to nutrition I follow the 80:20 rule. 80% of the food I eat needs to be quality healthy foods, 20% can be whatever I want. Then I just make sure my calories &amp; macros are being met. This allows be to maintain overall health, physique w.o punishing my sweet tooth.",1.50254936987426e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
1639,Legumes of the Fall… #ASongOrMovieForHealthyFood,1.4971416929857454e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
1466,"welcome to Eric Bailey's Engagement Farm, get your 100% fresh organic engagement right here folks",1.5030638190814577e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
980,"""Walk as children of light (for the fruit of light is found in all that is good and right and true), and try to discern what is pleasing to the Lord.""

Ephesians 5:8-10",1.4987201297645363e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
2022,"10 daily healthy habits:
1. Drink 8 glasses of water
2. Eat green food
3. Exercise for at least 30 minutes
4. Floss
5. Clean your work area
6. Do something you love
7. Get 7-8 hours of sleep
8. Meditate
9. Do something kind for someone
10. Have fun",1.5030489714676e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
1248,#vegetarian life was bad they said……and then they finished all the vegetarian appetizers before the vegetarian could get to it 😂💚🥬🥦🥒,1.4977787237177467e+18,Climate conscious diets are good,en,1,1.0,1.0,1.0,implicit,anecdotal
1220,"There should be more information available to people on nutrition and healthy eating - the amount of Fats, Sugars and Palm oil  in Asda's yesterday is very sad! 
A lack of Care. #vegan #vegetarian #health",1.5016548386852987e+18,Climate conscious diets are good,en,1,1.0,1.0,1.0,implicit,anecdotal
323,The <MENTION> Blue Berry Crossing has flies in their Deli and the Stuff does not care 🤮🤮🤮🤮. Green fat flies were sitting on the food. What a horrible experience,1.5026260364790129e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
571,Vegetable of the Day: Kidney bean,1.4986920942731428e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
1739,"Phytic Acid 

It blocks the absorption of some vitally important nutrients such as Magnesium, zinc, calcium, and Iron as well as inhibiting digestive enzymes 
 
The biggest culprits - whole grains, nuts, soybeans, and seeds",1.49662142372855e+18,Climate conscious diets are good,en,1,1.0,1.0,-1.0,explicit,expert
1624,"""just in time"" US inventory and food supply show signs of Costco no availability on potatoes, legumes, pasta. 1-flour and 1-rice option rationing and auto-deleting from cart as of this week. Fragile with extreme commodity futures price volatility. Perfect Storm setup.",1.49734577081045e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
1163,How has your life changed since becoming #vegan,1.5030404691518464e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
293,I want to go out for food &amp; drinks when I get off 🤔,1.498718672721961e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
1824,"Company advertising chicken nuggets: 

100% 😤 REAL chicken breast none of that fake stuff 🇬🇧BRITISH FARMED meat 

Same company advertising veggie nuggets: 

PLANT-based 100% 🌿MEAT-FREE meat is murder none of that here no way great for the planet 🌎 totally kind we hate meat 🧘‍♀️",1.498716808794284e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
2062,Today's flexitarian option excitedly displays sautéed spaghetti with a side of scrumptious the common cold!,1.502028865912279e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
2078,Today's flexitarian section eagerly offers thawed beef tips with a side of yummy salmonella!,1.4962770263275889e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
304,"A very interesting Aspiring to Middle Leadership session with <MENTION> tonight - lots of food for thought, insights into the role of a middle leader and an opportunity for self evaluation. Looking forward to working through the modules! #EdScotML #MiddleLeadMonday",1.5025100385979146e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
590,"Food Scams
1. Vegetable oils
2. ‘Sugar-free’ 
3. ‘Zero calorie’
4. ‘Whole grains’
5. ‘Plant based’
6. ‘Low fat’
7. ‘Low salt’
8. Energy drinks 
9. Weight loss teas
10. Organic pop-tarts",1.4986842607939625e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
2026,Today's flexitarian section cordially headlines thawed salmon with a side of enticing strep throat!,1.503032959242285e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
1979,"I have tried all kinds of fancy, organic, healthy food for my cat and he will only eat 2 things: absolute trash jellied convenience store cat food, or the dog’s fancy, organic, healthy food. 
It’s always a psychological game with that guy!",1.5030502488177172e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
